m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.47657,-53933852872.70786,-589120540.5491345,28689.870123808447,-27502.681579502376,-4878.693714559037
4.867466257521635e+24,85867685278.11703,65805003527.72189,-4048904997.675848,-21408.577743823917,27647.20658416894,1615.4095554863463
5.972365262433514e+24,-2117988288.7204614,147133540603.15848,-10349405.051821657,-30266.3946137547,-531.686742752438,-0.38012636262187066
7.346031390779777e+22,-2486870167.975942,147295919070.92957,-38371067.86544925,-30671.102591065035,-1410.1597316106001,52.05354172512688
6.417120205436417e+23,-246481683319.85437,-8600683429.07556,5860214478.739838,1745.1037399397692,-22144.031758048714,-506.8765719630833
1.8981871943454438e+27,490753637407.81525,-581147155569.1643,-8562708687.532362,9832.07996487238,9048.20299944555,-257.55810109645864
5.683361026390224e+26,-74249896608.97641,1346078553895.0269,-20401998201.443375,-10161.811912899286,-546.7861262871359,414.3409766985835
8.681273407389496e+25,40663727514.43838,2844899353345.1924,9998455885.88832,-6853.394991055363,-214.48366682816695,87.77182051838523
1.0241261669693524e+26,4280568711705.964,1262752179710.3418,-124779536614.58627,-1567.4746291429256,5253.583105065036,-72.35860962752768
0.0,-2472701434.3121276,147243808757.54654,-30369645.965477243,-36291.38684123433,11104.72887477845,-2204.2133791472174
0.0,-2227459460.7568336,147171333824.56198,-16085284.237587217,-35992.41824214179,11474.839701707864,-2276.4432435263416
0.0,-2291845231.184445,147190164221.2206,-19771794.300848346,-36152.58742707236,11288.275001073902,-2236.4076503683154
0.0,-2357981200.0410924,147209694654.7041,-23621081.568968534,-36227.54476978457,11193.008670728044,-2218.4733205878365
0.0,-2450147970.894652,147237089544.50046,-29037924.39621016,-36282.61817487046,11117.376671315982,-2206.0618685737313
0.0,-2418929981.9571204,147227795768.43658,-27198897.364298668,-36267.71316551054,11138.273773845807,-2209.279082172342
0.0,-2552045095.032144,147267470934.4364,-35058753.595115624,-36310.7655775371,11063.500914488859,-2198.6269118570453
0.0,-2552325122.850653,147267546325.4499,-35073726.60984413,-36310.83427492656,11063.358927354693,-2198.609046289372
0.0,-2439063871.2846055,147233787326.567,-28385299.229332592,-36277.68115564793,11124.325274003504,-2207.1085070533145
0.0,-2278034416.189255,147186093816.24582,-18972391.770573143,-36129.15891552177,11316.741851654913,-2242.136257046376
0.0,-2397632247.2044387,147221467760.84634,-25947158.420380455,-36255.61761727622,11155.039440416538,-2211.98918906597
0.0,-2493395346.043469,147249977420.60397,-31591802.399656475,-36297.58073293287,11094.348047230273,-2202.756380332525
0.0,-2471421721.5380445,147243429563.72516,-30293704.15677597,-36290.939889186186,11105.398503504735,-2204.309940377286
0.0,-2376165098.0846868,147215094919.71347,-24689133.46397864,-36241.461752352094,11174.358995913619,-2215.2288551881265
0.0,-2618342292.4086366,147287250730.49106,-38987716.940441296,-36325.075288496286,11032.968245028367,-2194.923641310258
0.0,-2432823292.4681916,147231932164.20374,-28017003.172606956,-36274.730260197975,11128.460144654293,-2207.7443582305204
0.0,-2557588917.576736,147269129033.9753,-35390058.418747015,-36312.04824636302,11060.679675343248,-2198.264490985603
0.0,-2506268703.6711535,147253817737.4851,-32352081.81090501,-36300.582881705835,11087.854439702369,-2201.8654823265397
0.0,-2440715185.3839765,147234280309.90024,-28482386.580556702,-36278.44072942718,11123.256914224658,-2206.945858052658
0.0,-2285050609.102802,147188154628.3405,-19375750.749413796,-36141.559848205456,11301.750551110365,-2239.1050891595196
0.0,-2317338534.950047,147197672509.05258,-21249973.90083292,-36187.353582876756,11245.03101741044,-2228.0076257705223
0.0,-2473125373.0927777,147243931908.5202,-30392546.91739851,-36291.53479661135,11104.507627220908,-2204.184518258598
0.0,-2522799994.4298835,147258752798.34152,-33330816.661383785,-36304.126803274106,11079.078567488166,-2200.6743933159173
0.0,-2374054459.3155236,147214462125.09073,-24562744.130068183,-36239.95286944134,11176.40354863963,-2215.5818233965724
0.0,-2375948534.2139363,147215021875.36777,-24671922.92631159,-36241.317318984395,11174.563885371152,-2215.269982778697
0.0,-2456384931.6049294,147238945454.73975,-29404152.116518285,-36285.22508903967,11113.685991349217,-2205.515734956988
0.0,-2629434020.606645,147290552197.44043,-39642460.05477512,-36327.174475178865,11028.441558997414,-2194.4163398195346
0.0,-2284356657.786033,147187950837.08673,-19336063.904616147,-36140.380117974746,11303.18126329106,-2239.3922759334832
0.0,-2431980304.7534537,147231679298.05832,-27967046.952948514,-36274.3228087662,11129.034460924478,-2207.8337145634773
0.0,-2500085294.2736516,147251976818.80704,-31986571.133170657,-36299.19562114399,11091.010027751747,-2202.299067609393
0.0,-2620484529.054607,147287883613.06183,-39112802.72282053,-36325.489669595205,11032.083182204407,-2194.8243692835554
0.0,-2487299475.5619855,147248161592.19168,-31231383.98975633,-36295.95587244191,11097.359898362982,-2203.175120645497
0.0,-2391047096.477573,147219514124.6835,-25560855.56102676,-36251.504216896225,11160.68776246228,-2212.924098004141
0.0,-2614363803.7220254,147286060426.81787,-38752746.51426535,-36324.30249144977,11034.627786565752,-2195.1121026679607
0.0,-2539270551.2592187,147263659225.2586,-34303820.15225373,-36307.81128210746,11070.196477991884,-2199.494048533585
0.0,-2335877103.6230464,147203155905.80865,-22331053.651596263,-36207.52480605224,11219.223115824458,-2223.1920359999835
0.0,-2429263027.9021945,147230872830.05652,-27806730.666777857,-36272.99150650016,11130.895532819372,-2208.1225084612042
0.0,-2557772500.9730544,147269171718.05078,-35396527.8990836,-36312.09709083985,11060.586534421767,-2198.255524231931
0.0,-2303384081.0181737,147193557149.47153,-20439065.77949695,-36169.51152256802,11267.401846865225,-2232.306290579621
0.0,-2514333270.0603614,147256217582.91003,-32825982.40488276,-36302.31742968322,11083.622926523483,-2201.2909386271585
0.0,-2317420456.5002637,147197699471.3102,-21255775.517393403,-36187.44627945618,11244.908757264006,-2227.9832214742955
0.0,-2387604215.44459,147218487960.59845,-25357665.606761068,-36249.28125881515,11163.732347895371,-2213.4342483168252
0.0,-2497327629.5185475,147251152341.98737,-31823835.594525356,-36298.548106342285,11092.393695644761,-2202.4893118467103
0.0,-2450807119.4455314,147237285591.93643,-29075908.349114824,-36282.90010737026,11116.97832488822,-2206.002422679367
0.0,-2472026507.8240275,147243600009.69107,-30327406.282272235,-36291.156733274314,11105.08130206378,-2204.2645378533707
0.0,-2354345040.1137376,147208625280.134,-23410264.0045352,-36224.49715377622,11197.033205554098,-2219.185470141485
0.0,-2425747513.3611684,147229831148.58023,-27600499.674072564,-36271.23133101172,11133.353858749877,-2208.506926767595
0.0,-2285591304.8570876,147188317078.13647,-19408713.501724157,-36142.46414618183,11300.643358517065,-2238.8787423207486
0.0,-2679300362.421416,147305426399.59482,-42601233.37487867,-36335.57647786499,11009.561957664666,-2192.404824690721
0.0,-2453070858.8532557,147237949495.1756,-29207185.867142085,-36283.86217379208,11115.626539216966,-2205.802025296265
0.0,-2387647067.8399663,147218499635.7971,-25360670.932192616,-36249.309737975695,11163.695882988895,-2213.4259730228473
0.0,-2419151741.3084216,147227862934.77505,-27211414.11000035,-36267.82965382017,11138.109622967047,-2209.2538842604363
0.0,-2280040880.869184,147186687348.4404,-19088651.07023448,-36132.80447392695,11312.338185024131,-2241.241901687932
0.0,-2352427264.2441945,147208059051.90964,-23298146.932746436,-36222.85516543942,11199.1979797519,-2219.571315870371
0.0,-2345615211.8199725,147206029441.615,-22897139.093704708,-36216.82616213623,11207.13529896084,-2220.995735787148
0.0,-2244502797.122231,147176283877.48788,-17048020.189619258,-36050.81053049279,11408.726435207536,-2261.6339978852743
0.0,-2840372540.3205304,147353458016.2712,-52170175.74092941,-36354.53958928435,10959.092507278612,-2187.933584574215
0.0,-2367515414.3061805,147212529092.6298,-24180427.34944692,-36235.08655838978,11182.939698335163,-2216.712312897133
0.0,-2322048438.774675,147199065024.07608,-21522871.66087626,-36192.82373258754,11238.0872197873,-2226.700912667873
0.0,-2581862824.191481,147276367798.77,-36827518.91696674,-36317.5441617711,11048.938312111299,-2196.8021330420133
0.0,-2709683376.1819005,147314490537.62967,-44405769.91043462,-36339.98204362681,10999.011399509594,-2191.3619311617476
0.0,-2568732293.0187163,147272450411.00003,-36047415.877499215,-36314.60863585938,11055.165151128951,-2197.57134933826
0.0,-2313837067.0738187,147196635893.81796,-21044834.10077519,-36183.12112920474,11250.379136866111,-2229.0276394736998
0.0,-2298868106.7936854,147192227369.4424,-20178754.206913736,-36163.14676808898,11275.291844701062,-2233.8412203949592
0.0,-2579400070.5027766,147275631456.51694,-36681098.773809314,-36317.002649241615,11050.083900132653,-2196.941962436959
0.0,-2327879705.269382,147200792057.78094,-21865556.83854207,-36199.25217593497,11229.87469257643,-2225.158926550895
0.0,-2303633162.0289264,147193626843.4527,-20452450.88852009,-36169.86099755524,11266.973721943414,-2232.2236704106435
0.0,-2241356888.7149425,147175367423.57727,-16869720.224878676,-36041.25973800835,11419.668501675189,-2264.038939654362
0.0,-2297929634.3966374,147191948852.2858,-20123896.86726386,-36161.78921240697,11276.972311798776,-2234.1716076376615
0.0,-2551072333.6690373,147267178171.55725,-35002522.67245197,-36310.54032657108,11064.00425849813,-2198.689113567153
0.0,-2445091806.3891206,147235582766.6966,-28739923.286062352,-36280.41418690385,11120.483854353233,-2206.526675780844
0.0,-2302771987.6689734,147193373176.21243,-20401979.933532294,-36168.67508330491,11268.447240080965,-2232.511568001641
0.0,-2345354302.6506696,147205955023.30142,-22882679.485785227,-36216.58434367605,11207.446594185962,-2221.050593497149
0.0,-2415159971.9676633,147226675225.8318,-26976597.279694054,-36265.69596001043,11141.082783809683,-2209.7271021110673
0.0,-2469100197.2532516,147242732507.31595,-30155344.755550288,-36290.11694356904,11106.625507698924,-2204.4857801865246
0.0,-2447871373.988445,147236405369.01816,-28902309.31233859,-36281.63980915,11118.76176561428,-2206.26811504753
0.0,-2680150092.195461,147305675322.20593,-42650160.54756233,-36335.7077587701,11009.259234292367,-2192.3745795541304
0.0,-2316222788.771134,147197335488.4048,-21180645.418922126,-36186.033792975366,11246.711071436912,-2228.3345550476574
0.0,-2484525760.0782876,147247331604.4785,-31064969.8912002,-36295.16457201793,11098.732032570666,-2203.3692244346425
0.0,-2522238559.467756,147258579930.02634,-33295502.145236343,-36304.00878976979,11079.37979900859,-2200.716767377474
0.0,-2432486444.9629273,147231834683.8531,-27998478.562931832,-36274.564558261416,11128.691403502338,-2207.779396758933
0.0,-2543662793.4304824,147264971036.90143,-34564498.21776021,-36308.8214244404,11067.867629533093,-2199.189724769044
0.0,-2154350721.4908805,147150767703.56268,-12224807.463755883,-35098.165211143816,12336.353709689367,-2528.6373887622485
0.0,-2501570491.507133,147252409173.47095,-32072581.473289087,-36299.542390163675,11090.25655793652,-2202.1944216775137
0.0,-2693755793.857569,147309738406.88297,-43458488.99817301,-36337.73316267322,11004.4641219103,-2191.8954241909228
0.0,-2480996483.9866195,147246281248.5714,-30859140.80960581,-36294.10236375037,11100.494663511625,-2203.613601187824
0.0,-2405067298.3442636,147223675939.7579,-26383547.5609887,-36260.03964013097,11148.934139505604,-2210.991148075063
0.0,-2391606696.737639,147219680333.93945,-25594228.66586932,-36251.86114968068,11160.198242140266,-2212.8421341585745
0.0,-2496470172.0385747,147250893800.22046,-31772335.34226911,-36298.34377321182,11092.819317141688,-2202.5466582732106
0.0,-2592496478.2745214,147279530266.15335,-37454206.84564034,-36319.84422669492,11044.093347276175,-2196.220356666846
0.0,-2410594324.4600263,147225324203.1143,-26709495.015720192,-36263.1796980639,11144.574372124218,-2210.285648549683
0.0,-2447796200.768351,147236390085.36322,-28899011.058414638,-36281.60237573623,11118.80872778933,-2206.2750625614103
0.0,-2403502602.1773934,147223213159.00366,-26293690.966459382,-36259.125228458906,11150.198063057289,-2211.1943263636317
0.0,-2305112885.518393,147194062262.39417,-20536669.770513073,-36171.8754082373,11264.46692041603,-2231.741764428031
0.0,-2396399430.0215545,147221093556.24133,-25872493.149055526,-36254.86957043866,11156.078507115628,-2212.161237871806
0.0,-2304922971.9043136,147194008295.15073,-20526786.16121056,-36171.61529473778,11264.786336003785,-2231.801931015465
0.0,-2451518348.787968,147237497652.62048,-29118331.29842235,-36283.20159121025,11116.552752645852,-2205.939226509949
0.0,-2481955996.6918445,147246565855.70367,-30914848.922283404,-36294.39765141176,11100.012437240099,-2203.5475260547437
0.0,-2437188209.1457496,147233231780.3323,-28275893.954153854,-36276.80522468311,11125.55236534277,-2207.2950108601644
0.0,-2384045577.8239646,147217434165.6325,-25150758.086395983,-36246.91633214706,11166.957033292167,-2213.973362603537
